campaign_id,campaign_name,channel,campaign_type,objective,start_date,end_date
camp_0035,Welcome Campaign 35,email,acquisition_campaign,acquisition,2017-06-27 21:15:19,2017-07-13 21:15:19
camp_0036,Special Offer Campaign 36,display,promotion_campaign,promotion,2017-03-05 21:15:19,2017-03-25 21:15:19
camp_0037,Shop & Explore Campaign 37,search,engagement_campaign,engagement,2017-10-07 21:15:19,2017-11-04 21:15:19
camp_0038,Customer Appreciation Campaign 38,email,retention_campaign,retention,2018-01-24 21:15:19,2018-02-22 21:15:19
camp_0039,Checkout Campaign 39,push,conversion_campaign,conversion,2017-03-30 21:15:19,2017-04-14 21:15:19
camp_0040,Product Discovery Campaign 40,email,engagement_campaign,engagement,2017-03-25 21:15:19,2017-04-05 21:15:19
camp_0041,Shop Now Campaign 41,search,conversion_campaign,conversion,2017-06-15 21:15:19,2017-07-05 21:15:19
camp_0042,Product Discovery Campaign 42,social,engagement_campaign,engagement,2018-09-12 21:15:19,2018-10-04 21:15:19
camp_0043,Customer Return Campaign 43,social,retention_campaign,retention,2018-05-20 21:15:19,2018-06-17 21:15:19
camp_0044,First Purchase Campaign 44,push,acquisition_campaign,acquisition,2017-08-16 21:15:19,2017-09-07 21:15:19
camp_0045,Engage Campaign 45,social,engagement_campaign,engagement,2017-04-13 21:15:19,2017-05-11 21:15:19
camp_0046,Engage Campaign 46,social,engagement_campaign,engagement,2018-05-21 21:15:19,2018-06-02 21:15:19
camp_0047,New Shopper Campaign 47,email,acquisition_campaign,acquisition,2017-08-11 21:15:19,2017-09-01 21:15:19
camp_0048,Checkout Campaign 48,display,conversion_campaign,conversion,2017-04-12 21:15:19,2017-05-07 21:15:19
camp_0049,Savings Campaign 49,display,promotion_campaign,promotion,2016-09-12 21:15:19,2016-09-26 21:15:19
camp_0050,Customer Appreciation Campaign 50,search,retention_campaign,retention,2018-06-08 21:15:19,2018-07-02 21:15:19
